Week,hodl,Close_Price
11/6/16,1,712.24
11/13/16,0,702.5
11/20/16,1,728.61
11/27/16,0,728.42
12/4/16,1,766.46
12/11/16,1,768.62
12/18/16,1,788.59
12/25/16,1,894.48
1/1/17,2,997.69
1/8/17,1,913.52
1/15/17,1,822.42
1/22/17,0,925.33
1/29/17,1,914.04
2/5/17,1,1013.99
2/12/17,0,999.51
2/19/17,1,1052.82
2/26/17,1,1179.97
3/5/17,1,1277.68
3/12/17,1,1229.5
3/19/17,1,1017.8
3/26/17,1,965.23
4/2/17,1,1098.78
4/9/17,0,1210.05
4/16/17,0,1184.79
4/23/17,1,1248.22
4/30/17,2,1347.96
5/7/17,2,1555.47
5/14/17,2,1772.42
5/21/17,6,2055.62
5/28/17,2,2207.58
6/4/17,4,2552.81
6/11/17,7,3018.54
6/18/17,6,2576.17
6/25/17,8,2594.45
7/2/17,5,2529.78
7/9/17,7,2525.67
7/16/17,5,1938.94
7/23/17,3,2762.63
7/30/17,5,2746.33
8/6/17,7,3255.0
8/13/17,7,4111.2
8/20/17,5,4111.22
8/27/17,8,4394.51
9/3/17,10,4631.69
9/10/17,14,4191.17
9/17/17,9,3672.57
9/24/17,6,3662.12
10/1/17,4,4394.64
10/8/17,7,4596.96
10/15/17,6,5697.39
10/22/17,6,5984.96
10/29/17,9,6140.53
11/5/17,9,7382.45
11/12/17,11,5857.32
11/19/17,14,8033.94
11/26/17,25,9326.59
12/3/17,39,11180.89
12/10/17,62,15036.96
12/17/17,100,19086.64
12/24/17,61,13975.44
12/31/17,66,13860.14
1/7/18,65,16178.49
1/14/18,92,13619.03
1/21/18,38,11522.86
1/28/18,40,11694.47
2/4/18,52,8186.65
2/11/18,17,8070.8
2/18/18,13,10396.63
2/25/18,13,9586.46
3/4/18,11,11479.73
3/11/18,18,9532.74
3/18/18,15,8196.02
3/25/18,15,8449.83
4/1/18,15,6816.74
4/8/18,11,7022.71
4/15/18,10,8357.04
4/22/18,9,8792.83
4/29/18,7,9392.03
